Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/classify-breed,116,0,14,14.028391930941293,12.985271998331882,34.28003600129159,114.0,4.014072590537815,0.0,14,14,14,14,15,16,16,17,34,34,34
,Aggregated,116,0,14,14.028391930941293,12.985271998331882,34.28003600129159,114.0,4.014072590537815,0.0,14,14,14,14,15,16,16,17,34,34,34
