Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/sse,182,0,3,3.7934148132170686,2.3096660006558523,44.736976000422146,0.0,6.290205527877999,0.0,3,3,3,4,4,4,21,40,45,45,45
,Aggregated,182,0,3,3.7934148132170686,2.3096660006558523,44.736976000422146,0.0,6.290205527877999,0.0,3,3,3,4,4,4,21,40,45,45,45
