Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/classify-breed,10,0,14,15.811093899901607,13.662392000696855,33.47062199827633,114.0,0.5345265963717858,0.0,14,14,14,14,33,33,33,33,33,33,33
,Aggregated,10,0,14,15.811093899901607,13.662392000696855,33.47062199827633,114.0,0.5345265963717858,0.0,14,14,14,14,33,33,33,33,33,33,33
